quarterly_date,C,YDD$,PGDP,STKVLE$,CPI,IBF,IG,TDR1Y,CAPSTOCK$,PX,WPX,RX,GDPMAJOR,ICSALES$,EXS,OVERSEAREV$,VISITORS,EXG,IPC,JJ,IMS,OUTBOUND,JPNRX,NONFUEL,POIL,PM,WTVG,PD,GDP,PF,FOOD,WG$,TYPH_T,PO,PCG,WGP,PIG,PIBF,PCON,PCA,WGST$,VSTOCK$,NOTERATE,REQ,IR,NE,MINWGM,GDP$,DEP$,EX$,C$,PC,COMM_SERVICES,CULTURE,ECON_AFFAIRS,EDU,ENVIRO_PROTECT,GEN_PUB_AFFAIRS,HLTH_INS,NATL_DEFENSE,PUB_SAFETY,SOC_SECURITY,CG$,IG$,IPC$,PIPC,IBF$,JJ$,GCF$,PGCF,EX,EXG$,EXS$,IM,IMG$,IMS$,IM$,PEX,PIM,CG,GCF,GNI$,TAX$,FIA$,Q1,Q2,Q3,Q4,SPIKE2002,SPIKE2008,SPIKE2009,SPIKE2001_03,STEP2008,M1B,IMG,PCH_GDP,EX$_wg,IM$_wg,CPI_base,PF_base,PO_base,JG_emp
2005-10-01,1823885,2880608,98.62,14694198.666666666,89.09666666666666,600200,181314,1.9233333333333333,33024181,115.17,96.2,33.45666666666666,87.01945348426666,227,129202,352778.35333333333,3378118,1777405,83453,17380,289281,8208125,117.28999999999999,71.443,53.3910246,99.32,3.906695515157598,93.53666666666666,3283049,75.67666666666668,73.64699999999999,39938,0.3333333333333333,94.80333333333333,85.04,3,83.04,87.64,79.08,73.20538481259742,47367,1854266.3333333333,1.5366666666666666,5,2.17,10018,15840,3237828,433102,2268481,1713201,93.93,5092.09713911934,5770.941952763706,46296.9118758311,89764.03530016635,9013.973379381632,50537.408850748594,102697.60180945048,65434.70394838139,38564.52444507852,58028.801299078856,471201,150558,75523,90.5,526040,15452,767573,87.09,1906607,2140176,128305,1796479,1711916,270712,1982628,118.97999954893695,110.36188009990653,554068,880965,3325417,99616.889,357220,0,0,0,1,0,0,0,0,0,74928.66666666667,1507198,0.07474770158666141,2140176,1711916,99.35,96.35,100.55333333333333,0
2006-01-01,1837383,2657718,101.59,15742471.666666666,87.94,640042,120479,1.99,35485099,111.76333333333334,100,32.32233333333333,87.7723150358,247.7,132966,306420.5233333333,3519827,1615378,40427,14708,278636,8671375,116.88333333333334,77.52333333333334,64.28825914,98.09333333333333,3.994476754515445,93.25,2968079,72.14666666666668,75.55449999999999,53714.666666666664,0,94.83666666666667,106.67,0,86.91,89.18,80.15333333333334,70.73063523139449,63728,1935100,1.68,5,2.2933333333333334,10024.333333333334,15840,3015255,449150,2009186,1715115,93.35,4395.443662332125,6743.318763589853,50148.291971861014,96561.6037433383,11051.491605201449,48361.744898742276,110690.24866766148,64148.27175868685,41712.288407589,60915.296520997654,494728,104710,36606,90.55,570780,6267,718363,88.92,1748344,1893615,115571,1796568,1667297,254840,1922137,114.9193751344129,106.98938197719208,463804,815518,3131319,99737.002,357537,1,0,0,0,0,0,0,0,0,77958,1517932,-0.09593825739426978,1893615,1667297,99.35,96.35,100.55333333333333,0
2006-04-01,1808483,2592735,98.13,16871316.333333332,89.30666666666666,660876,131592,2.06,35485099,114.24,100,32.184333333333335,88.38005508553333,247.7,127477,320133.4666666667,3519827,1751336,45870,17183,286475,8671375,114.41666666666667,87.54133333333333,64.28825914,103.17,3.994476754515445,97.61666666666666,3078166,74.17,75.55449999999999,39781,0.3333333333333333,95.87,85.19,0,86.97,89.71,84.80333333333333,82.30831604247695,47128.666666666664,2360985.6666666665,1.6633333333333333,5,2.42,10061.666666666666,15840,3020629,451939,2186395,1707536,94.42,3798.285314964826,5827.181645704541,43335.22065124707,83442.88987955659,9550.052622042207,41791.391169260285,95652.03841131955,55433.1842970582,36045.319809209126,52639.4361996376,427515,114446,41798,91.12,592875,24210,773329,89.39,1878813,2073218,113177,1879343,1809176,264970,2074146,116.37108110280268,110.36548410801008,501861,855216,3088280,199918.03433333334,427894,0,1,0,0,0,0,0,0,0,77083.33333333333,1592868,0.03709032003528208,2073218,1809176,99.35,96.35,100.55333333333333,0
2006-07-01,1874033,2749789,97.75,16283715.333333334,89.52666666666667,673203,139757,2.13,35485099,118.48333333333333,100,32.776333333333334,88.91718287816667,247.7,133035,351780.54,3519827,1840530,53279,3408,286707,8671375,116.18666666666667,89.413,64.28825914,107.89666666666666,3.994476754515445,102.01666666666667,3274244,75.08,75.55449999999999,40324.666666666664,2,95.74,87.37,0,87.72,90.85,86.56666666666666,83.68275025127824,47784.333333333336,1578064,1.7266666666666666,5,2.5433333333333334,10152.666666666666,15840,3200487,462607,2360676,1766385,94.26,4107.708101684076,6301.886054146237,46865.472758473676,90240.4654636538,10328.036277979108,45195.87704753784,103444.21773076104,59948.98259539544,38981.70883180559,56927.64513856321,462342,122595,49194,92.33,611572,3068,786429,90.47,1973565,2242407,118269,1889391,1906319,269026,2175345,119.61480873444756,115.1347180123119,529175,869328,3246789,116973.88666666667,450698,0,0,1,0,0,0,0,0,0,77269.66666666667,1602684,0.06369961853909113,2242407,1906319,99.35,96.35,100.55333333333333,0
2006-10-01,1864173,2916559,97.4,18481521.666666668,89.01,657728,163128,2.2,35485099,118.10333333333334,100,32.851,89.56615016013333,247.7,144155,397675.0133333333,3519827,1911646,78489,12129,283149,8671375,117.71333333333332,91.23266666666666,64.28825914,106.41666666666667,3.994476754515445,100.72666666666666,3425106,73.13,75.55449999999999,40291.666666666664,0,95.93666666666667,86.61,0,88.62,91.3,87.34,83.72646747949716,48445.666666666664,2092637.6666666667,1.7666666666666666,5,2.67,10205.666666666666,15840,3336216,470630,2437665,1753578,94.07,4369.562921018972,6703.613536559369,49853.01461841825,95993.04091345129,10986.419494777232,48076.986884459606,110038.49519025795,63770.561348859526,41466.682951396295,60556.62214080153,491815,144557,72671,92.59,600526,10284,828038,90.98,2055801,2309311,128354,1891386,1906451,268429,2174880,118.57494961817802,114.98869083307162,567837,910964,3412139,116972.375,419657,0,0,0,1,0,0,0,0,0,79190,1608237,0.046075368848503655,2309311,1906451.0000000002,99.35,96.35,100.55333333333333,0
2007-01-01,1869523,2736740,100.93,19363323.666666668,88.8,632328,108024,2.23,37875992,117.33333333333334,102.09,32.916333333333334,90.2128259308,255.6,144742,371946.4066666667,3716063,1768396,46867,-35583,282164,8963712,119.43666666666667,96.26366666666667,71.11655901,106.35333333333334,1.0194798003448398,100.25666666666666,3135562,72.32333333333334,81.624,54459.333333333336,0,96.02666666666667,107.79,0,92.47,92.53,88.73,69.0241863974712,63257,2100435.3333333335,1.84,5,2.7933333333333334,10242,15840,3164736,486124,2267379,1755335,93.89,5377.174938460156,6041.860385795141,53914.330929578915,99545.63854152495,11295.482029338913,48010.88151340529,114404.35589049886,65695.68498787172,41887.955569131256,61574.6352143948,507748,99887,43563,92.95,585064,-43707,684807,92.5,1913138,2140317,127062,1796624,1786199,264334,2050533,118.51622831181024,114.13256196065508,471035,751991,3293144,97520.884,427996,1,0,0,0,0,0,0,0,0,83149.33333333333,1514460,-0.08453577787081626,2140317,1786199,99.35,96.35,100.55333333333333,0
2007-04-01,1850264,2728201,96.87,20538617,89.54333333333334,701044,125221,2.33,37875992,120.44,102.09,33.11233333333333,90.76143600143334,255.6,135217,423105.61333333334,3716063,1934883,45149,38447,289690,8963712,120.74000000000001,103.53433333333334,71.11655901,112.75333333333333,1.0194798003448398,103.94333333333333,3297423,72.66,81.624,40278.666666666664,0,96.96,86.79,0,91.07,92.37,91.93666666666667,92.28234258328598,47687,2396817,2.1233333333333335,5,2.9633333333333334,10255.666666666666,15840,3194285,485536,2468095,1745744,94.35,4679.923899020752,5258.420478714529,46923.33217808694,86637.68952757421,9830.812072333381,41785.375104791,99569.69698987383,57177.01390710628,36456.400729494206,53590.33511300486,441909,114033,42137,93.33,647525,47414,851109,92.24,2070100,2347520,120575,1969485,2039222,273350,2312572,119.22588280759383,117.42013775174729,509153,909785,3288070,222506.878,466084,0,1,0,0,0,0,0,0,0,82849.66666666667,1679795,0.05162104911336469,2347520,2039222,99.35,96.35,100.55333333333333,0
2007-07-01,1947071,2892541,97.68,23013389,90.83333333333334,718882,136218,2.4933333333333336,37875992,120.73,102.09,32.90833333333333,91.27368032666666,255.6,147422,466813.3333333333,3716063,2082429,53753,3633,316208,8963712,117.77666666666667,100.09366666666666,71.11655901,114.62333333333333,1.0194798003448398,106.15333333333334,3535273,76.40333333333334,81.624,41910.666666666664,1.3333333333333333,97.02333333333334,88.58,0,91.6,93.15,93.17,89.51013861818818,49195.333333333336,3654865.3333333335,2.39,5,3.17,10328,17280,3453398,495795,2680959,1856530,95.35,5145.428640733087,5781.467374257222,51590.72295134566,95255.40557516331,10808.667638641118,45941.701289834054,109473.73967940244,62864.32243284521,40082.66213278232,58920.88228499557,485865,124771,50551,94.04,669604,1822,846748,92.96,2229851,2548156,132803,2043847,2116131,300573,2416704,120.23041001394263,118.24290174362366,548496,912511,3482947,130974.591,560857,0,0,1,0,0,0,0,0,0,83471.66666666667,1727639,0.0721320861775999,2548156,2116131,99.35,96.35,100.55333333333333,0
2007-10-01,1894450,3058901,97.29,22448829.333333332,93.00333333333333,646445,170219,2.566666666666667,37875992,120.55333333333334,102.09,32.43366666666667,91.75832300173333,255.6,145374,487406.23666666663,3716063,2154047,77236,8932,300581,8963712,113.06666666666666,104.991,71.11655901,119.02666666666667,1.0194798003448398,108.42666666666668,3650481,81.53333333333333,81.624,41118.666666666664,0.6666666666666666,97.7,88.41,0,93.7,94.26,95.52333333333333,81.21036376349255,52642.666666666664,2862499.3333333335,2.38,5,3.2933333333333334,10350,17280,3551498,508794,2752834,1833589,96.79,5426.472521786002,6097.251761233107,54408.61394098849,100458.2663557375,11399.038259686591,48451.04209196966,115453.20744022485,66297.9786721768,42271.98156859222,62139.14738760475,512403,159490,73396,95.03,609337,10310,852533,94.39,2299421,2618638,134196,1986209,2108504,291357,2399861,119.71857263197995,120.82620711113483,579557,901234,3625197,126962.57433333332,492597,0,0,0,1,0,0,0,0,0,82097.33333333333,1685628,0.0325881480722988,2618638,2108504,99.35,96.35,100.55333333333333,0
2008-01-01,1910240,2871578,98.48,20752479.666666668,91.98666666666666,648925,104728,2.62,39957272,117.45,105.331,31.528666666666666,92.02297174926667,248.6,145639,426146.38666666666,3845187,2057356,50257,25025,293862,8465172,105.20333333333333,118.83333333333333,96.99045376,121.88333333333333,3.101896103724267,110.98333333333333,3375756,78.15,93.0535,55259.666666666664,0,97.85000000000001,108.36,0,100.2,98.19,101.42,80.56789774068085,64594.333333333336,2691515,2.34,5,3.42,10373.333333333334,17280,3324515,533539,2597037,1844458,96.56,4107.50517650031,7062.426172831156,58409.38357623614,102841.35968148286,11565.125516083504,49848.152753754934,119460.46599940919,70217.28244724286,43411.38520542386,59692.91347103517,526616,104935,49031,97.56,637176,7132,798274,98.42,2202995,2464953,132084,1999537,2162995,278875,2441870,117.88664976543298,122.12177119003049,486004,828846,3483903,101313.695,452937,1,0,0,0,0,1,0,0,1,82150.66666666667,1705675,-0.07525720583123155,2464953,2162995,99.35,96.35,100.55333333333333,0
