year,month,Total Not in Labor Force,Intend and be available  to work  but not seeking,Attending school or rebrushing to take entrance exams,Housekeeping,Old age & disable,Others,
2015,Aug.,8 170, 151,2 014,2 524,2 464,1 017,
2015,Sept.,8 202, 150,2 052,2 521,2 466,1 014,
2015,Oct.,8 207, 148,2 049,2 524,2 471,1 015,
2015,Nov.,8 211, 147,2 041,2 531,2 476,1 016,
2015,Dec.,8 221, 148,2 046,2 537,2 477,1 013,
2016,Ave.,8 235, 149,2 044,2 548,2 480,1 015,
2016,Jan.,8 230, 150,2 051,2 541,2 475,1 014,
2016,Feb.,8 239, 150,2 057,2 544,2 472,1 017,
2016,Mar.,8 245, 149,2 059,2 549,2 471,1 019,
2016,Apr.,8 250, 148,2 065,2 546,2 476,1 016,
2016,May,8 253, 145,2 069,2 542,2 484,1 014,
2016,June,8 246, 147,2 060,2 543,2 481,1 015,
2016,July,8 218, 150,2 026,2 548,2 478,1 016,
2016,Aug.,8 202, 151,2 000,2 553,2 481,1 017,
2016,Sept.,8 234, 152,2 037,2 549,2 483,1 013,
2016,Oct.,8 233, 150,2 035,2 551,2 485,1 012,
2016,Nov.,8 234, 149,2 034,2 553,2 487,1 011,
2016,Dec.,8 242, 148,2 037,2 558,2 486,1 013,
2017,Ave.,8 254, 151,2 027,2 574,2 488,1 013,
2017,Jan.,8 246, 149,2 039,2 561,2 485,1 012,
2017,Feb.,8 257, 151,2 043,2 566,2 483,1 014,
2017,Mar.,8 264, 150,2 046,2 570,2 482,1 016,
2017,Apr.,8 273, 151,2 051,2 573,2 486,1 012,
2017,May,8 276, 148,2 053,2 572,2 490,1 013,
2017,June,8 268, 150,2 042,2 574,2 487,1 015,
2017,July,8 239, 152,2 007,2 578,2 484,1 018,
2017,Aug.,8 222, 154,1 983,2 583,2 487,1 014,
2017,Sept.,8 254, 153,2 018,2 578,2 490,1 016,
2017,Oct.,8 249, 151,2 015,2 579,2 492,1 012,
2017,Nov.,8 246, 150,2 017,2 577,2 493,1 009,
2017,Dec.,8 253, 151,2 018,2 582,2 495,1 008,
2018,Ave.,8 254, 151,2 011,2 588,2 496,1 008,
2018,Jan.,8 257, 152,2 021,2 584,2 494,1 007,
2018,Feb.,8 267, 154,2 025,2 588,2 492,1 008,
2018,Mar.,8 270, 153,2 028,2 591,2 491,1 008,
2018,Apr.,8 274, 151,2 032,2 590,2 495,1 007,
2018,May,8 275, 148,2 034,2 589,2 496,1 008,
2018,June,8 267, 150,2 024,2 587,2 497,1 009,
2018,July,8 235, 152,1 990,2 590,2 494,1 010,
2018,Aug.,8 217, 153,1 967,2 593,2 493,1 011,
2018,Sept.,8 248, 152,2 000,2 590,2 497,1 009,
2018,Oct.,8 246, 151,2 002,2 588,2 498,1 007,
2018,Nov.,8 244, 150,2 004,2 584,2 500,1 006,
2018,Dec.,8 249, 149,2 006,2 587,2 503,1 004,
2019,Ave.,8 243, 150,1 968,2 594,2 524,1 008,
2019,Jan.,8 250, 149,2 007,2 589,2 502,1 003,
2019,Feb.,8 256, 151,2 009,2 592,2 500,1 004,
2019,Mar.,8 259, 150,2 011,2 593,2 501,1 003,
2019,Apr.,8 260, 149,2 011,2 594,2 503,1 002,
2019,May,8 260, 145,2 012,2 593,2 506,1 003,
2019,June,8 253, 144,1 998,2 593,2 516,1 002,
2019,July,8 221, 148,1 970,2 591,2 513,1 000,
2019,Aug.,8 204, 152,1 908,2 596,2 533,1 015,
2019,Sept.,8 237, 151,1 933,2 598,2 540,1 015,
2019,Oct.,8 235, 151,1 924,2 596,2 548,1 016,
2019,Nov.,8 235, 152,1 917,2 593,2 557,1 016,
2019,Dec.,8 244, 152,1 913,2 593,2 569,1 016,
2020,Ave.,8 261, 157,1 903,2 595,2 589,1 016,
2020,Jan.,8 249, 154,1 906,2 594,2 578,1 017,
2020,Feb.,8 261, 157,1 903,2 596,2 589,1 016,
2020,Mar.,8 272, 159,1 900,2 596,2 599,1 017,
